Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,976.0,660.0,32,40.0,36.0,0.0,48.0,Dairy products
Milk skim,1 qt.,984.0,360.0,36,0.0,0.0,0.0,52.0,Dairy products
Buttermilk,1 cup,246.0,127.0,9,5.0,4.0,0.0,13.0,Dairy products
"Evaporated, undiluted",1 cup,252.0,345.0,16,20.0,18.0,0.0,24.0,Dairy products
Fortified milk,6 cups,0.0,0.0,89,42.0,23.0,1.4,119.0,Dairy products
Powdered milk,1 cup,103.0,515.0,27,28.0,24.0,0.0,39.0,Dairy products
"skim, instant",1 1/3 cups,85.0,290.0,30,0.0,0.0,0.0,42.0,Dairy products
"skim, non-instant",2/3 cup,85.0,290.0,30,0.0,0.0,1.0,42.0,Dairy products
Goats' milk,1 cup,244.0,165.0,8,10.0,8.0,0.0,11.0,Dairy products
(1/2 cup ice cream),2 cups,540.0,690.0,24,24.0,22.0,0.0,70.0,Dairy products
Cocoa,1 cup,252.0,235.0,8,11.0,10.0,0.0,26.0,Dairy products
skim. milk,1 cup,250.0,128.0,18,4.0,3.0,1.0,13.0,Dairy products
(cornstarch),1 cup,248.0,275.0,9,10.0,9.0,0.0,40.0,Dairy products
Custard,1 cup,248.0,285.0,13,14.0,11.0,0.0,28.0,Dairy products
Ice cream,1 cup,188.0,300.0,6,18.0,16.0,0.0,29.0,Dairy products
Ice milk,1 cup,190.0,275.0,9,10.0,9.0,0.0,32.0,Dairy products
Cream or half-and-half,1/2 cup,120.0,170.0,4,15.0,13.0,0.0,5.0,Dairy products
or whipping,1/2 cup,119.0,430.0,2,44.0,27.0,1.0,3.0,Dairy products
Cheese,1 cup,225.0,240.0,30,11.0,10.0,0.0,6.0,Dairy products
uncreamed,1 cup,225.0,195.0,38,0.0,0.0,0.0,6.0,Dairy products
Cheddar,1-in. cube,17.0,70.0,4,6.0,5.0,0.0,0.0,Dairy products
"Cheddar, grated cup",1/2 cup,56.0,226.0,14,19.0,17.0,0.0,1.0,Dairy products
Cream cheese,1 oz.,28.0,105.0,2,11.0,10.0,0.0,1.0,Dairy products
